source_ip,destination_ip,protocol,source_port,destination_port,duration,packets,bytes,packet_rate,connection_count,label
192.168.1.12,10.0.0.10,ICMP,50584,22,15.01727563432447,93,4606,6.192867618906395,3,NORMAL
192.168.1.47,10.0.0.12,ICMP,45463,53,9.63544814063336,97,5008,10.066994143317965,1,NORMAL
192.168.1.49,10.0.0.18,UDP,38867,53,14.895209974021402,19,7968,1.2755778557763016,3,NORMAL
192.168.1.10,10.0.0.17,ICMP,24844,22,14.747632431649798,25,1607,1.6951873540289533,3,NORMAL
192.168.1.17,10.0.0.18,TCP,2327,80,16.538856712242975,17,1021,1.027882416286711,2,NORMAL
192.168.1.20,10.0.0.12,ICMP,41440,80,13.583113625381333,41,1766,3.0184537309168658,3,NORMAL
192.168.1.20,10.0.0.10,UDP,29695,80,19.22406769381385,73,8889,3.7973232909230137,5,NORMAL
192.168.1.31,10.0.0.20,TCP,41526,53,18.210587774853344,93,9486,5.106919180742861,1,NORMAL
192.168.1.50,10.0.0.14,ICMP,54188,22,16.90289648979379,7,4609,0.4141302056855581,1,NORMAL
192.168.1.6,10.0.0.6,TCP,10598,443,17.408882279304933,32,6589,1.8381421326537704,3,NORMAL
192.168.1.13,10.0.0.8,ICMP,36283,22,11.241071143321033,94,1356,8.362192428241219,3,NORMAL
192.168.1.26,10.0.0.16,ICMP,44297,80,7.335077816835525,41,8306,5.589579418761788,2,NORMAL
192.168.1.5,10.0.0.19,UDP,2060,80,1.3822462093249404,53,9188,38.34338603531716,5,NORMAL
192.168.1.49,10.0.0.18,UDP,42852,443,19.640334354834465,48,7933,2.4439502471191283,3,NORMAL
192.168.1.17,10.0.0.5,TCP,42285,22,19.927431035799536,82,9584,4.114930813344047,3,NORMAL
192.168.1.31,10.0.0.18,ICMP,38967,22,9.228349538953877,9,9153,0.9752556469615733,5,NORMAL
192.168.1.26,10.0.0.13,TCP,24394,80,12.307808847106656,16,3279,1.2999876906409147,3,NORMAL
192.168.1.43,10.0.0.5,ICMP,56975,53,1.0713075082783843,78,2625,72.8082267670725,4,NORMAL
192.168.1.28,10.0.0.17,UDP,2700,22,1.410544702849498,84,7084,59.55146251679102,2,NORMAL
192.168.1.45,10.0.0.14,UDP,22357,443,3.448771682101085,61,1173,17.687456759340225,1,NORMAL
192.168.1.17,10.0.0.16,UDP,21396,80,5.401129665114146,69,1681,12.775105260973543,4,NORMAL
192.168.1.19,10.0.0.2,ICMP,2944,80,9.61257216348673,58,3119,6.033764846032832,5,NORMAL
192.168.1.22,10.0.0.7,UDP,33984,53,12.760207275069302,60,6000,4.702117975561971,1,NORMAL
192.168.1.48,10.0.0.9,UDP,18507,53,3.1985505430226957,60,7678,18.7584967606292,1,NORMAL
192.168.1.5,10.0.0.17,ICMP,27004,443,10.601417273856798,48,8700,4.527696510764507,4,NORMAL
192.168.1.27,10.0.0.15,ICMP,51643,443,1.7169505082221865,52,6215,30.286254467429764,4,NORMAL
192.168.1.37,10.0.0.7,ICMP,15754,22,11.95030767277189,18,2185,1.5062373700228653,5,NORMAL
192.168.1.9,10.0.0.6,ICMP,22820,443,15.657616809881318,77,3695,4.917734348397535,4,NORMAL
192.168.1.2,10.0.0.4,ICMP,21433,53,16.790062031595514,40,4979,2.382361656837721,3,NORMAL
192.168.1.11,10.0.0.11,ICMP,34103,443,4.13207667641778,27,3428,6.534244670262775,3,NORMAL
192.168.1.2,10.0.0.13,UDP,13234,53,12.261793540885062,54,8734,4.403923440722217,4,NORMAL
192.168.1.11,10.0.0.4,ICMP,44018,443,9.50172790418701,79,2321,8.31427723426894,1,NORMAL
192.168.1.43,10.0.0.5,UDP,47535,80,7.097859121497314,52,8677,7.326152732801837,2,NORMAL
192.168.1.5,10.0.0.5,ICMP,27073,53,1.5947516715292505,56,4298,35.11518501579628,2,NORMAL
192.168.1.5,10.0.0.15,ICMP,47197,22,9.264755961036455,15,2716,1.6190388676273282,5,NORMAL
192.168.1.39,10.0.0.13,TCP,27016,443,17.21564104174768,22,8210,1.2779076856127702,3,NORMAL
192.168.1.10,10.0.0.18,UDP,1545,80,6.402061143753959,72,7334,11.246378062203505,2,NORMAL
192.168.1.11,10.0.0.12,TCP,11108,53,19.20585309144506,99,6723,5.154678603893829,1,NORMAL
192.168.1.19,10.0.0.11,UDP,59766,22,5.75967732116518,57,2894,9.896387735219328,1,NORMAL
192.168.1.17,10.0.0.13,ICMP,23836,443,10.21303825530136,97,7746,9.497663435231868,5,NORMAL
192.168.1.25,10.0.0.4,TCP,5621,80,11.301675454804888,34,1547,3.0084035005221246,3,NORMAL
192.168.1.4,10.0.0.2,ICMP,9492,443,3.176532617544063,10,3821,3.148086673113246,2,NORMAL
